[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=1980 capture_ms=15.493 gpu_ms=10.138 post_ms=0.579 total_ms=34.871 fps_avg=32.939 det=0
vision_progress frame=2010 capture_ms=11.695 gpu_ms=10.483 post_ms=0.588 total_ms=33.271 fps_avg=33.100 det=0
vision_progress frame=2040 capture_ms=12.387 gpu_ms=10.219 post_ms=0.578 total_ms=31.989 fps_avg=32.950 det=0
vision_progress frame=2070 capture_ms=12.551 gpu_ms=10.092 post_ms=0.589 total_ms=32.080 fps_avg=32.972 det=0
vision_progress frame=2100 capture_ms=16.350 gpu_ms=10.204 post_ms=0.581 total_ms=35.768 fps_avg=32.916 det=0
vision_progress frame=2130 capture_ms=11.431 gpu_ms=10.131 post_ms=0.588 total_ms=30.884 fps_avg=33.117 det=0
vision_progress frame=2160 capture_ms=11.323 gpu_ms=10.527 post_ms=0.591 total_ms=31.596 fps_avg=32.858 det=0
vision_progress frame=2190 capture_ms=12.360 gpu_ms=10.171 post_ms=0.588 total_ms=31.922 fps_avg=33.054 det=0
vision_progress frame=2220 capture_ms=16.033 gpu_ms=10.231 post_ms=0.583 total_ms=35.926 fps_avg=32.936 det=0
vision_progress frame=2250 capture_ms=12.135 gpu_ms=10.232 post_ms=0.590 total_ms=31.960 fps_avg=33.289 det=0
vision_progress frame=2280 capture_ms=12.429 gpu_ms=10.256 post_ms=0.585 total_ms=31.930 fps_avg=32.868 det=0
vision_progress frame=2310 capture_ms=7.684 gpu_ms=10.305 post_ms=0.593 total_ms=27.236 fps_avg=33.051 det=0
vision_progress frame=2340 capture_ms=16.231 gpu_ms=10.256 post_ms=0.590 total_ms=35.939 fps_avg=32.803 det=0
vision_progress frame=2370 capture_ms=10.953 gpu_ms=10.166 post_ms=0.589 total_ms=30.530 fps_avg=33.047 det=0
vision_progress frame=2400 capture_ms=12.304 gpu_ms=10.206 post_ms=0.585 total_ms=31.785 fps_avg=32.995 det=0
